,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
1388,3229820189253,Boisson végétale riz calcium bio BJORG,BJORG,Bio et Ecologie,Boissons,True,1.8,1.80 € / Litre
1389,3229820112015,Boisson végétale riz bio BJORG,BJORG,Bio et Ecologie,Boissons,True,1.66,1.66 € / Litre
1390,3275240312511,Brie  BONS MAYENNAIS,BONS MAYENNAIS,Crémerie,Fromages,True,6.66,6.66 € / Kilogramme
1391,3279231413003,Brousse allégée 5% MG LA FERMIERE,LA FERMIERE,Crémerie,Fromages,True,3.1,7.75 € / Kilogramme
1392,3279231440009,Brousse au lait entier LA FERMIERE,LA FERMIERE,Crémerie,Fromages,True,2.0,10.00 € / Kilogramme
1393,3440590000559,Cabécou fromage de chèvre au lait cru IGP ,REFS.SANS MARQUE,Crémerie,Fromages,True,3.99,28.50 € / Kilogramme
1394,3560070451685,Camembert bio CARREFOUR BIO,CARREFOUR BIO,Bio et Ecologie,Crèmerie,True,1.92,7.68 € / Kilogramme
1395,3560070323630,Camembert en portions CARREFOUR,CARREFOUR,Crémerie,Fromages,True,1.65,6.88 € / Kilogramme
1396,3245390026002,Camembert de Normandie lait cru REFLETS DE FRANCE,REFLETS DE FRANCE,Crémerie,Fromages,True,2.53,10.12 € / Kilogramme
1397,3176582003016,Camembert Grand Cœur COEUR DE LION,COEUR DE LION,Crémerie,Fromages,True,1.94,7.05 € / Kilogramme
1398,3176582012834,Camembert Spécial Affiné LE RUSTIQUE,LE RUSTIQUE,Crémerie,Fromages,True,2.22,8.54 € / Kilogramme
1399,3228020481464,Camembert  PRESIDENT,PRESIDENT,Crémerie,Fromages,True,2.48,10.33 € / Kilogramme
1400,3245411190323,Camembert de Normandie AOP FILIERE QUALITE CARREFOUR,FILIERE QUALITE CARF,Crémerie,Fromages,True,4.95,19.80 € / Kilogramme
1401,3265850000366,Cancoillotte au vin jaune LA BELLE ETOILE,POITREY,Crémerie,Fromages,True,3.1,15.50 € / Kilogramme
1402,3265850000281,Cancoillotte nature LA BELLE ETOILE,POITREY,Crémerie,Fromages,True,2.6,10.40 € / Kilogramme
1403,3560070753741,Cantal Entre-Deux au lait cru AOP REFLETS DE FRANCE,REFLETS DE FRANCE,Crémerie,Fromages,True,2.42,12.10 € / Kilogramme
1404,3560071019013,Cheddar mature CARREFOUR,CRF CDM,Crémerie,Fromages,True,2.49,12.45 € / Kilogramme
1405,3608580931607,Compote poires BONNE MAMAN,BONNE MAMAN,Crémerie,Compotes fraiches,True,2.42,9.31 € / Kilogramme
1406,3608580931584,Compote pêches & abricots BONNE MAMAN,BONNE MAMAN,Crémerie,Compotes fraiches,True,2.42,9.31 € / Kilogramme
1407,3245412730924,Compotes pomme abricot CARREFOUR,CARREFOUR,Crémerie,Compotes fraiches,True,0.92,2.30 € / Kilogramme
1408,3560071009632,Compotes poire avec morceaux CARREFOUR,CARREFOUR,Crémerie,Compotes fraiches,True,1.49,3.72 € / Kilogramme
1409,3608580931591,Compotes ananas rhum BONNE MAMAN,BONNE MAMAN,Crémerie,Compotes fraiches,True,2.42,9.31 € / Kilogramme
1410,3760074310142,Compotes pomme cannelle CAZAUBON,CAZAUBON,Crémerie,Compotes fraiches,True,1.8,3.60 € / Kilogramme
1411,3760074310128,Compotes pomme CAZAUBON,CAZAUBON,Crémerie,Compotes fraiches,True,1.6,3.20 € / Kilogramme
1412,3608580959380,compotes pomme kidi fruit sans sucres ajoutés ANDROS,KIDIFRUIT,Crémerie,Compotes fraiches,True,2.96,4.35 € / Kilogramme
1413,3228022170182,Comté râpé PRESIDENT,PRESIDENT,Crémerie,Fromages,True,2.85,21.92 € / Kilogramme
1414,3560071028374,Crème légère fluide 12% MG CARREFOUR,CARREFOUR,Crémerie,Crèmes fraîches et chantilly,True,1.46,3.65 € / Litre
1415,3451790124624,Crème au mascarpone ELLE & VIRE,ELLE & VIRE,Crémerie,Crèmes fraîches et chantilly,True,2.01,6.09 € / Litre
