,EAN,product_name,brand,category,subcategory,purchasable,promotion_type,promo_description,best_quantity,price_per_unit,discounted_price,initial_price,difference,Start_Date,End_Date
60,0000041007563,Chocolat de Pâques lapin NESTLE,NESTLE,Epicerie Sucrée,Chocolats de pâques,True,Le 2ème à -50%,soit 2 à 4.18€ au lieu de 5.58€,2,32.82 € / Kilogramme,4.18,5.58,1.4000000000000004,2020-04-07T00:00:00+0200,2020-07-05T23:59:00+0200
61,0000080135517,Chocolat de Pâques au lait lapin KINDER,KINDER,Epicerie Sucrée,Chocolats de pâques,True,Le 2ème à -50%,soit 2 à 3.73€ au lieu de 4.98€,2,22.64 € / Kilogramme,3.73,4.98,1.2500000000000004,2020-04-07T00:00:00+0200,2020-07-05T23:59:00+0200
62,0000059945741,Chocolat de Pâques Œufs NESTLE,NESTLE,Epicerie Sucrée,Chocolats de pâques,True,Le 2ème à -50%,soit 2 à 2.23€ au lieu de 2.98€,2,29.80 € / Kilogramme,2.23,2.98,0.75,2020-04-07T00:00:00+0200,2020-07-05T23:59:00+0200
63,3292070009275,Blinis bio x8 ATELIER BLINI,ATELIER DE BLINI,Bio et Ecologie,Frais et surgelés,True,Prenez en 3 = Payez en 2,soit 3 à 5.00€ au lieu de 7.50€,3,15.62 € / Kilogramme,5.0,7.5,2.5,2020-04-03T00:00:00+0200,2020-04-13T23:59:00+0200
64,3292070008551,Houmous bio  BLINI,ATELIER DE BLINI,Bio et Ecologie,Frais et surgelés,True,Prenez en 3 = Payez en 2,soit 3 à 6.98€ au lieu de 10.47€,3,21.81 € / Kilogramme,6.98,10.47,3.49,2020-04-03T00:00:00+0200,2020-04-13T23:59:00+0200
65,3033610062707,Saumon fumé bio  LABEYRIE,LABEYRIE,Bio et Ecologie,Frais et surgelés,True,Le 2ème à -60%,soit 2 à 6.18€ au lieu de 8.84€,2,68.00 € / Kilogramme,6.18,8.84,2.66,2020-04-03T00:00:00+0200,2020-04-13T23:59:00+0200
66,3292070008759,Blinis bio sarrasin et blé tendre ATELIER BLINI,ATELIER DE BLINI,Bio et Ecologie,Frais et surgelés,True,Prenez en 3 = Payez en 2,soit 3 à 3.56€ au lieu de 5.34€,3,13.19 € / Kilogramme,3.56,5.34,1.7799999999999998,2020-04-03T00:00:00+0200,2020-04-13T23:59:00+0200
67,3321433007525,Terrine saumon poireaux bio KRITSEN,KRITSEN,Bio et Ecologie,Frais et surgelés,True,PROMO : 34%,soit 1 à 1.71€ au lieu de 2.60€,1,13.68 € / Kilogramme,1.71,2.6,0.8900000000000001,2020-04-03T00:00:00+0200,2020-04-13T23:59:00+0200
68,3038680807821,Saumon fumé bio  DELPIERRE,DELPIERRE,Bio et Ecologie,Frais et surgelés,True,PROMO : 30%,soit 1 à 3.43€ au lieu de 4.90€,1,31.18 € / Kilogramme,3.43,4.9,1.4700000000000002,2020-04-03T00:00:00+0200,2020-04-13T23:59:00+0200
69,3033610079729,Saumon fumé Atlantique Bio LABEYRIE,LABEYRIE,Bio et Ecologie,Frais et surgelés,True,PROMO : 30%,soit 1 à 9.48€ au lieu de 13.55€,1,34.47 € / Kilogramme,9.48,13.55,4.07,2020-04-03T00:00:00+0200,2020-04-13T23:59:00+0200
