,EAN,product_name,brand,category,subcategory,purchasable,price,price_per_unit
87,3615004514889,POSS Chargeur de voiture USB x 2 - PSCACDB-3.4A-18 - Noir,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,16.9,
88,3615004514872,POSS Chargeur de voiture USB - PSCAC-2.4A-18 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,9.9,
89,3615004378283,POSS Chargeur de voiture 2 ports USB - PSCACCA-5.4ABK-18 - Noir,POSS,Bricolage & auto,Auto,False,16.9,
90,3615004514896,POSS Chargeur mural 1A - PSWC-1A - Blanc,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,9.9,
91,3614611954958,POSS Batterie externe - PSPBLI2200 - Noir,POSS,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,7.9,
92,3615004514964,POSS Chargeur mural 2.4 A avec câble USB-C - PSWCC-2.4 - Blanc,POSS,"Maison, Loisir, Textile",Lumière et électricité,False,19.9,
93,8806088592091,SAMSUNG Chargeur allume-cigare - EP-LN915CBEGWW - Noir,SAMSUNG,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,29.9,
94,8806088592510,SAMSUNG Chargeur allume-cigare Fast charge - Noir,SAMSUNG,Bricolage & auto,Auto,False,34.9,
95,8801643635855,SAMSUNG Base de chargeur allume-cigare avec 2 ports USB - EP-L1100NB - Noir,SAMSUNG,Bricolage & auto,Auto,False,24.9,
96,3467452005507,SMOBY Majo vintage - Coffret 5 voitures miniature - Echelle 1/64 - 212052013.,SMOBY,"Maison, Loisir, Textile",Jeux et Jouets,False,15.1,
97,3367970040885,SUPERTOOTH Kit mains libres Bluetooth pour voiture Buddy,SUPERTOOTH,Bricolage & auto,Auto,False,59.9,
98,3303170078105,T'NB Chargeur allume-cigare 4x USB - CAC4USB8A,T'NB,Bricolage & auto,Auto,False,24.99,
99,3303170079973,T'NB Transmetteur FM Bluetooth + Kit mains libres,T'NB,Bricolage & auto,Auto,False,49.99,
100,3303170075173,T'NB Chargeur allume-cigare 2x USB - ACGPCAR48 - Noir,T'NB,Bricolage & auto,Auto,False,14.99,
101,3303170065501,T'NB Support voiture avec fixation intelligente pour smartphone jusqu'à 5.5'',T'NB,Bricolage & auto,Auto,False,14.99,
102,3303170065983,T'NB Chargeur allume-cigares - 3.1A,T'NB,Bricolage & auto,Auto,False,14.99,
103,3303170047088,T'NB Coque GPS ETGPCB1L,T'NB,Bricolage & auto,Auto,False,14.99,
104,3303170034422,T'NB Support de fixation pour GPS - ACDI034422 - Noir,T'NB,Bricolage & auto,Auto,False,14.99,
105,3303170038970,T'NB Support voiture Universel pour grille d'aération,T'NB,Bricolage & auto,Auto,False,14.99,
106,0636926039826,TOMTOM Adaptateur allume-cigare - 9UUC.001.01 - Noir,TOMTOM,Bricolage & auto,Auto,False,14.99,
107,0636926083782,TOMTOM GPS Voiture START 52 EUROPE,TOMTOM,Bricolage & auto,Auto,False,149.9,
108,0636926092296,TOMTOM Chargeur double haute vitesse pour TomTom -  9UUC.001.26 - Noir,TOMTOM,Bricolage & auto,Auto,False,24.99,
109,0636926083768,TOMTOM GPS Voiture START 42 EUROPE,TOMTOM,Bricolage & auto,Auto,False,129.9,
110,0636926100397,"TOMTOM GPS Go Basic 6"" - 1BA6.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,179.9,
111,0636926101301,TOMTOM GPS Go Essential 5’’- 1PN5.002.10 - Noir,TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,199.9,
112,0636926092210,TOMTOM Chargeur allume-cigare - 9UUC.001.25 - Noir,TOMTOM,Bricolage & auto,Auto,False,9.99,
113,0636926100410,"TOMTOM GPS Go Basic 5"" - 1BA5.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",False,159.9,
114,0636926100410,"GPS Go Basic 5"" - 1BA5.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",True,159.9,159.90 € / Pièce
115,0636926100397,"GPS Go Basic 6"" - 1BA6.002.00 - Noir",TOMTOM,"Maison, Loisir, Textile","Cartouche, électronique et culture",True,179.9,179.90 € / Pièce
